file_name,text_extract,supp_name,supp_vat,date,amount,currency
Migros market (274), MIGROS GENOSSENSCHAFT MIGROS ZORICH TAKE AWAY GLATT TEL. 044 839 20 50 --- UNSERE OEFFNUNGSZEITEN MO-SA: 09:00-20:00 CHF SEMMELI 4 x 1.10 4.40 1 TOTAL 4.40 BAR 20.40 ZURUECK 16.00 MWST-NUMMER: CHE-105.970.604 MWST GR MWST% TOTAL MWST 1 2.50 4.40 0.11 BESTEN DANK FÜR IHREN EINKAUF! 0940134911084900000440 VERKAEUFER : 0000037 Dürr Fathia ART 00004 TRANSAKTION: 01349 BEDIEN. KNR KST. DATUM ZEIT 0000894 094 150564 11.01.2019 08:49,MIGROS GENOSSENSCHAFT,CHE-105.970.604,11.01.2019,4.4,CHF
Denner market (192), DENNER EXPRESS Schlieren Bahnhof Güterstrasse 4-6 8952 Schlieren 058 999 14 15 M Bezeichnung Betrag B Frisco Maxibon 140ml 2.80 B Rama Margarine 250g 1.95 Total CHF 4.75 MAESTRO-CH 4.75 B MWSt. 2.5% 4.75 0.12 Total MWSt: 4.75 0.12 MwSt Nr. CHE-105.904.292 MWST Es bediente Sie: K. Suter 07.08.2020 21:01 #:48343 C:141501 6664834324464236 2618/1501/7007* ********00275982 Buchung Maestro Contactless #XXXXXXXXXXXXXXX4202/07.08.2020/21:01/31 472919*00275982/110875/00000000002# Total-EFT CHF: 4.75,DENNER EXPRESS Schlieren Bahnhof,CHE-105.904.292,07.08.2020,4.75,CHF
Denner market (135)," DENNER Dübendorf Wallisellenstrasse 17 8600 Dübendorf 058 999 06 61 M Bezeichnung Betrag B D-Vollrahm UHT 500ml 2 X 3.15 6.30 Total CHF 6.30 Bargeld CHF 6.30 B MWSt. 2.5% 6.30 0.15 Total MWSt: 6.30 0.15 MwSt Nr. CHE-105.904.292 MWST Es bediente Sie: A. YAPRAK Besten Dank für Ihren Einkauf! Auf Wiedersehen, Ihr Denner Team. Immer aktuell informiert mit dem Denner Newsletter unter www.denner.ch 29.09.2018 09:58 #:53687 C:66102 6665368705433558",DENNER Dübendorf,CHE-105.904.292,29.09.2018,6.3,CHF
Migros Restaurant  (35), MIGROS GENOSSENSCHAFT MIGROS OSTSCHWEIZ M-RESTAURANT ROSENBERG TEL. 052 208 15 91 CHF Salatbuffet 0.242kg X 29.00 CHF/kg 7.00 2 TARA 0.250kg PET Getränk / RedBull 3.60 2 Asia Gericht 14.50 2 Asia Fisch/Fleisch Bei 2.70 2 TOTAL 27.80 BAR 50.00 2URUECK 22.20 TOTAL IN EURO 25.25 MWST-NUMMER: CHE-105.784.711 MWST GR MWST% TOTAL MWST 2 7.70 27.80 1.99 BESTEN DANK FÜR IHREN EINKAUF! 0520684111122400002780 ART 00004 TRANSAKTION: 06841 BEDIEN. KNR KST. DATUM ZEIT 0000755 052 95480 11.02.2019 12:24,MIGROS GENOSSENSCHAFT MIGROS OSTSCHWEIZ M-RESTAURANT ROSENBERG,CHE-105.784.711,11.02.2019,27.8,CHF
Shell (51)," Shell Rosenberg Schaffhauserstrasse 154 8400 Winterthur Site ID 1072 Telefon: 052 212 8 81 21 Rechnung HM Baguette Gruyère CHF 5.80 F Branche-Gipfel CHF 2.00 F Laugenbreze] Butter CHF 1.60 F Fanta Orange 0.51 CHF 2.20 D Stimorol Spearmint 14g CHF 1.60 D Summe CHF 13.20 Cash CHF 20.00 Ruckgabe CHF 6.80 2.50 % MWST. D CHF 0.09 7.70 % MWST F CHF 0.66 Im Namen und auf Rechnung von Steuer Nr. CHE-104.188.825 MWST Kurt Sandmeier GmbH 5502 Hunzenschwil Summe Netto CHF 12.45 Datum Zeit Bon POS KNo Schicht 21.02.18 08:23 26108 02 5732 414 Vielen Dank für Ihren Besuch und bis zum nächsten Mal Sagen Sie uns Ihre Meinung zu Ihrem Stationsbesuch. Unter allen Teilnehmern verlosen wir monatlich einen Tankgut- schein im Wert von 500 CHF Die Umfrage, sowie die ausführlichen Teilnahmebedingungen und Datenschutz- hinweise finden Sie auf www.shell.ch/customersurvey",Shell Rosenberg,CHE-104.188.825,21.02.2018,13.2,CHF
Punto (94), Punto RISTORANTE CAFFE BAR Wallisellenstr. 9 8600 Dübendorf WWW.PUNTO9.CH Rechnung Nr.1-5448 21:43:29 30.04.2019 4x Prosecco 10cl. Fr 8.00 Fr 32.00 1x Acqua Panna Fr 5.00 Fr 5.00 1x San Pellegrino Wa Fr 5.00 Fr 5.00 1x Insalata Mista Fr 10.00 Fr 10.00 1x Insalata Verde Fr 8.00 Fr 8.00 3x Divers. Insalata Fr 5.00 Fr 15.00 1x Gnocchetti Punto Fr 19.50 Fr 19.50 1x Cappelletti al Br Fr 23.00 Fr 23.00 2x Scaloppine di vit Fr 33.00 Fr 66.00 1x Brunello 75cl. Fr 64.00 Fr 64.00 1x Tris di Ravioli Fr 25.00 Fr 25.00 1x Divers. Speisen Fr 5.00 Fr 5.00 1x Semifreddo con Pi Fr 9.00 Fr 9.00 1x Sfogliatella Fr 10.00 Fr 10.00 1x Affogato al Caffe Fr 8.00 Fr 8.00 1x Tiramisu Fr 9.00 Fr 9.00 2x di Amarone Fr 8.00 Fr 16.00 Total Fr 329.50 Gegeben (Bar) Fr 329.50 MwSt.% Brutto Netto MwSt. 7.7% Fr 329.50 Fr 305.94 Fr 23.56 Bedient von: Service Punto9 Tisch: Stammtisch Terminal: Hauptkasse Danke für Ihren Besuch! MWST: CHE-208.429.690,Punto RISTORANTE CAFFE BAR,CHE-208.429.690,30.04.2019,329.5,CHF
Coop market (140)," coop Für mich und dich. Wallisellen Richti-Shopping Artikel Menge Preis Aktion Total Ruchbrot 500G 1 1.10 1.10 0 Semmeli 80G 7 0.80 5.60 0 Schoggiweggli 72G 1 1.75 1.75 0 Big Silserb.Gipfel 1 1.30 1.30 0 Bio Buttergipfel 1 0.95 0.95 0 Bürli 90G 1 0.75 0.75 0 Doppelbuerli 2St 180 2 1.50 3.00 0 MH Choco Croissant 4 1.80 7.20 0 JOGHURT ERDB./APRIKO 1 2.15 2.15 0 Marlboro Red B-PT 1 8.80 8.80 1# TOTAL CHF 32.60 BAR 200.00 Zurück CHF -167.40 COOP GENOSSENSCHAFT, CHE-116.311.185 MWST GR MWST% TOTAL MWST 0 2.50 23.80 0.58 1 7.70 8.80 0.63 Anzahl gekaufter Artikel 20 SUPERCARD NR.: 2501******6557 ALTER PUNKTESTAND SALDO 5240 SUB-/TOTAL EXCL.* 32.60 32 SUPERPUNKTE AUS EINKAUF 32 NEUER PUNKTESTAND SALDO 5272 Erhalten physische Sanselmarken Kappa Trophy 3 # ARTIKEL NUR PUNKTEBERECHTIGT / KEIN RABATT ES BEDIENTE SIE Herr Alimi Dankão für Ihre chauf 9900010159415042000032604954 15.04.20 08:46 01594 00410064 001 0004954",COOP GENOSSENSCHAFT,CHE-116.311.185,15.04.2020,32.6,CHF
Post (44), DIEPOSIT 8952 Schlieren 12.09.2019 / 18:22 / S3 Bestätigung Quittung Post CH AG Wankdorfallee 4 3030 Bern UID: CHE-116.302.542 MWST CHF 1 Einschreiben (R) (9) 6.30 Nr .00.895200.0315728 kg g 0.042 Empfänger: Kantonales Steurmat ZH 8090 Zürich Amt. d. Kt. Total CHF 6.30 Bargeld ein -7.00 Rückgeld 0.70 (9): inkl. MWSt(7.7%) 0.45 Code mit der Post-App scannen und Sendung( (en) verfolgen. Bewahren Sie diese Quittung sorgfältig auf. www.post.ch Contact Center 0848 888 888 Besten Dank für Ihren Besuch,Post CH AG,CHE-116.302.542,12.09.2019,6.3,CHF
Post (23), DIEPOST 8303 Bassersdorf 23.02.2018 / 15:24 / S2 Bestätigung Quittung Post CH AG Wankdorfallee 4 3030 Bern UID: CHE-116.302.542 MWST CHF 1 Adressänderung mit Nachsendung (9) 47.00 Nr 47.09.830300.08755858 Total CHF 47.00 Maestro -47.00 Buchung Karte Nr. xxxx0438 Trx-Seq.Nr.: 9857 Trm_ID: 23970873 Aut-Code: 233722 Rückgeld 0.00 (9): inkl. MWSt(7.7%) 3.36 www.post.ch Kundendienst 0848 888 888 Besten Dank für Ihren Besuch,Post CH AG,CHE-116.302.542,23.02.2018,47.0,CHF
Post (19), DIE POST F 3600 Dübendorf 1 02.07.2018 / 13:43 / S5 Bestätigung Quittung Post CH AG Wankdorfallee 4 3030 Bern UID: CHE-116.302.542 MWST CHF 100 Briefmarken CHF 1.00 100.00 Total CHF 100.00 Bargeld ein -100.00 Rückgeld 0.00 www.post.ch Contact Center 0848 888 888 Besten Dank für Ihren Besuch,Post CH AG,CHE-116.302.542,02.07.2018,100.0,CHF
Migros market (70), MIGROS GENOSSENSCHAFT MIGROS ZÜRICH TAKE AWAY GLATT TEL. 044 839 20 50 --- UNSERE DEFFNUNGSZEITEN MO-SA: 09:00-20:00 CHF SEMMELI 4 X 1.10 4.40 1 TOTAL 4.40 BAR 4.50 ZURUECK 0.10 MWST-NUMMER: CHE-105.970.604 MWST GR MWST% TOTAL MWST 1 2.50 4.40 0.11 CUMULUS-NUMMER: 2099.555.613.481 ERHALTENE PUNKTE: 4.400 BESTEN DANK FüR IHREN EINKAUF! 0930300402084500000440 VERKAEUFER: 0000007 Wagner Sandra ART 00004 TRANSAKTION: 03004 C BEDIEN. KNR KST. DATUM ZEIT 0000893 093 150564 02.09.2020 08:45,MIGROS GENOSSENSCHAFT,CHE-105.970.604,02.09.2020,4.4,CHF
Shell (45)," Shell Rosenberg Schaffhauserstrasse 154 8400 Winterthur Site ID: 1072 Telefon: 052 212 81 21 Rechnung Coca Cola Zero 0.331 CHF 1.60 D Coca Cola Zero 0.331 CHF 1.60 D Coca Cola Zero 0.331 CHF 1.60 D Coca Cola Zero 0.331 CHF 1.60 D Hemdentasche 500St CHF 0.05 F Summe CHF 6.45 Cash CHF 20.00 Rückgabe CHF 13.55 2.50 % MWST. D CHF 0.16 7.70 % MWST. F CHF 0.00 Im Namen und auf Rechnung von Steuer Nr. CHF-104.188.825 MWST Kurt Sandmeier GmbH 5502 Hunzenschwil Summe Netto CHF 6.29 Datum Zeit Bon POS KNo Schicht 24.05.19 11:51 21603 03 1210 784 Vielen Dank für Ihren Besuch und bis zum nächsten Mal WIR WOLLEN WISSEN, WAS SIE VON UNS DENKEN Beantworten Sie unsere kurze Umfrage auf My Shell und Sie erhalten einen 5 Rp. /1 Rabatt beim Tanken. Die Umfrage, sowie die ausführlichen Teilnahmebedingungen und Datenschutz- hinweise finden Sie auf www.shell.ch/customersurvey",Kurt Sandmeier GmbH,CHF-104.188.825,24.05.2019,6.45,CHF
Punto (13), Punto RISTORANTE CAFFE BAR Wallisellenstr. 9 8600 Dübendorf WWW.PUNTO9.CH Rechnung Nr.1-7185 19:24:10 10.10.2019 5x Vino Bianco Sprit Fr 8.50 Fr 42.50 3x Insalata Verde Fr 8.00 Fr 24.00 3x Divers. Carne Fr 29.50 Fr 88.50 1x Elios Negroamaro Fr 5.00 Fr 5.00 Total Fr 160.00 Gegeben (Bar) Fr 160.00 MwSt.% Brutto Netto MwSt. 7.7% Fr 160.00 Fr 148.56 Fr 11.44 Bedient von: Service Punto9 Tisch: Tisch 18 Terminal: Hauptkasse Danke für Ihren Besuch! MWST: CHE-208.429.690 orderbird POS iPad Kassensystem,Punto RISTORANTE CAFFE BAR,CHE-208.429.690,10.10.2019,160.0,CHF
Migros market (1), MIGROS GENOSSENSCHAFT MIGROS ZORICH MM DUBENDORF TEL. 044 801 66 77 UNSERE OEFFNUNGSZEITEN MO-SA: 08:00-20:00 RODIM CHF Hackfleisch Rind 4 X 6.90 27.60 1 MClass Toast&Sandwich 2 X 1.10 2.20 1 Berliner 1.20 1 Plastiksack 0.05 2 TOTAL 31.05 VISA pniggorla Isioo2 asb 31.05 Buchung V PAY Contactless XXXXXXXXXXXXXXX0906 27.11.2018 16:18 #31425732/659/A0000000032010*00138646/19 550806647/954134/00000000002/C654C6EC6BD 42AE2226D4C45EEE64A41/1# Total-EFT CHF: 31.05 MWST-NUMMER: CHE-105.970.604 MWST GR MWST% TOTAL MWST 1 2.50 31.00 0.76 2 7.70 0.00 ullej2e8 0.05 mrienns CUMULUS-NUMMER: 2099.317.932.119 ERHALTENE PUNKTE: 31.050 ANZAHL STICKER FÜR DIESEN EINKAUF 1 FAMIGROS-MITGLIEDER +1 STICKER BESTEN DANK FÜR IHREN EINKAUF! 3040196027161800003105 ART 00008 TRANSAKTION 01960 C BEDIEN. KNR KST. DATUM ZEIT 0000992 304 150054 27.11.2018 16:18,MIGROS GENOSSENSCHAFT,CHE-105.970.604,27.11.2018,31.05,CHF
Migros market (139), MIGROS GENOSSENSCHAFT MIGROS ZORICH MM DOBENDORF TEL. 044 801 66 77 --- UNSERE OEFFNUNGSZEITEN MO-SA: 08:00-20:00 CHF Bio Zitronen 3.20 1 Fenchel 3.30 1 Havelaar Limetten 2 X 0.60 1.20 1 Bio Kamille 1.00 1 Kopfsalat rot 2 X 1.65 3.30 1 Extra Physalis 3.30 1 Kopfsalat 1.65 1 TOTAL 16.95 BAR 20.00 ZURUECK 3.05 MWST-NUMMER: CHE-105.970.604 MWST GR MWST% TOTAL MWST 1 2.50 16.95 0.41 CUMULUS-NUMMER: 2099.317.932.119 ERHALTENE PUNKTE: 16.950 BESTEN DANK FÜR IHREN EINKAUF! 0010033318100600001695 ART 00009 TRANSAKTION: 00333 C BEDIEN. KNR KST. DATUM ZEIT 0000103 001 150054 18.10.2019 10:06,MIGROS GENOSSENSCHAFT,CHE-105.970.604,18.10.2019,16.95,CHF
Denner market (102)," DENNER Schlieren Freiestrasse 52 8952 Schlieren 058 999 04 11 M Bezeichnung Betrag C Denner Tragtasche Vlies 1Stk 0.95 B D-Birchermies11 o.z. 900g 2.95 B D-Milchdrink hochpast 1L 2 X 1.20 2.40 B Denner Geflügsalatwurst 500g 3.60 B Denner Skyr Mango-Pas. 150g 2 X 1.20 2.40 B D-Pouletfleischkäse 115g 2 X 1.30 2.60 B Denner Skyr Heildelbeer 150g 2 X 1.20 2.40 B D-Eier Import Boden. 15x53g+ 3.30 B Denner Poulet Lyone 125g 2 X 1.45 2.90 B Coca Cola Zero Dose 33cl 3 X 0.75 2.25 Total CHF 25.75 Bargeld CHF 20.00 Bargeld CHF 10.00 Rückgeld CHF 4.25 B MWSt. 2.5% 24.80 0.60 C MWSt. 7.7% 0.95 0.07 Total MWSt: 25.75 0.67 MwSt Nr. CHE-105.904.292 MWST Es bediente Sie: M. KRAL pnunisM endl anu Besten Dank für Ihren Einkauf! Auf Wiedersehen, Ihr Denner Team. Immer aktuell informiert mit dem Denner Newsletter unter www.denner.ch 20.06.2019 10:45 #:49916 C:41101 6664991601363822",DENNER Schlieren,CHE-105.904.292,20.06.2019,25.75,CHF
Da Paulo (103), RISTORANTE DA marring PAULO CUCINA ITALIANA & STEAK HOUSE Goldschlägiplatz 2 8952 Schlieren www.dapaulo.ch Tel: 044 730 21 21 Rechnung 10729 13.12.2018 TISCH 70 21:41:04 1 San Pell. 5dl 6.30 6.30 2 Aqua Pan. 5dl 6.30 12.60 5 Espresso 4.60 23.00 1 Papale fl. 49.50 49.50 2 Rinds Filet 150g 41.50 83.00 1 Rinds Filet 250g 51.50 51.50 1 1 kugel 3.50 3.50 1 Campari Orange 10.50 10.50 1 Martini Bianco 8.50 8.50 1 Campari Soda 8.50 8.50 1 Bruschetta 8.50 8.50 1 Passionate Italiana 10.50 10.50 Rechnungsbetrag Fr. 275.90 Eur 250.80 MWST NETTO STEUER BRUTTO 1 = 7.7% 256.17 19.73 275.90 Es bediente Sie Oliviero Vielen Dank und auf Wiedersehen bis zum nächsten mal..... CHE-292.794.521 MWST,RISTORANTE DA marring PAULO CUCINA ITALIANA & STEAK HOUSE,CHE-292.794.521,13.12.2018,275.9,CHF
Migros market (12), migrolino migrolino Schlieren Güterstrasse 3 CH 8952 Schlieren T +41 58 563 34 20 **** Bon-Kopie #1 **** Artikel Betrag M SM Nonfood 1.00 C Caffè Latte Balance 2.30 B Total CHF 3.30 MAESTRO-CH 3.30 7005/78/2527 00564538 Buchung Maestro Contactless #XXXXXXXXXXXXXXX4202/23.09.2020/10:31/31 410732/2407/A0000000043060*00564538/8652 9809878/110933/00000000002/65C16ECE1C74 EB9B70C11FEAABF8D0/1# Total-EFT CHF: 3.30 MWST% Netto MWST Brutto M MwSt. 2.5% 2.24 0.06 2.30 B MwSt. 7.7% 0.93 0.07 1.00 C CHE-476.550.967 MWST Es bediente Sie: M. Krasniqi www.migrolino.ch Besten Dank für Ihren Einkauf Bon: 4904 23.09.2020 10:31 Kasse: 78 Shop: 7197 6660490400874283,migrolino,CHE-476.550.967,23.09.2020,3.3,CHF
Migros market (187), MIGROS GENOSSENSCHAFT MIGROS ZORIC MM DOBENDORF TEL. 044 801 66 77 --- UNSERE DEFFNUNGSZEITEN MO-SA 08:00-20:00 CHF Pfefferminze frisch 2.20 1 Sun Queen Pistazien 6.10 1 AKT Cherrytomaten am Zweig 2.40 1 Aktion 0.50- 1 AKT Cherrytomaten am Zweig 2.40 1 Aktion 0.50- 1 AKT Cherrytomaten am Zweig 2.40 1 Aktion 0.50- 1 AKT Cherrytomaten am Zweig 2.40 1 Aktion 0.50- 1 AKT Cherrytomaten am Zweig 2.40 1 Aktion 0.50- 1 SUBTOTAL 17.80 Endivien Lavata 3 < 2.90 8.70 1 TOTAL 26.50 BAR 26.50 MWST-NUMMER: CHE-105.970.604 MWST GR MWST% TOTAL MWST 1 2.50 26.50 0.65 CUMULUS-NUMMER: 2099.317.932.119 ERHALTENE PUNKTE: 26.500 BESTEN DANK FÜR IHREN EINKAUF! 0010284406094900002650 ART 00010 TRANSAKTION: 02844 C BEDIEN. KNR KST. DATUM ZEIT 0000105 001 150054 06.02.2020 09:49,MIGROS GENOSSENSCHAFT,CHE-105.970.604,06.02.2020,26.5,CHF
Migros market (38), MIGROS GENOSSENSCHAFT MIGROS ZÜRICH MM DOBENDORF TEL. 044 801 1 66 77 --- UNSERE OEFFNUNGSZEITEN CHF Gurke 2 X 1.20 2.40 1 Rucola 2.40 1 Karotten geraf. 3209 2 X 2.10 4.20 1 AKT Datteltomaten 3.95 1 TOTAL 12.95 BAR 13.00 ZURUECK 0.05 MWST-NUMMER: CHE-105.970.604 MWST GR MWST% TOTAL MWST 1 2.50 12.95 0.32 CUMULUS-NUMMER: 2099.317.932.119 ERHALTENE PUNKTE: J6An11.950 oib BESTEN DANK FÜR IHREN EINKAUF 0070290327102300001295 ART 00006 TRANSAKTION: 02903 C BEDIEN. KNR KST. DATUM ZEIT 0000106 007 150054 27.10.2018 10:23,MIGROS GENOSSENSCHAFT,CHE-105.970.604,27.10.2018,12.95,CHF
